书名,作者,价格
人间失格（太宰治自传体小说）,"（日）太宰治 著，杨伟 译,麦书房出品，有容书邦发行",¥21.40
易经杂说（当当独家定制版）,南怀瑾,¥24.00
这才是好读的数学史（美国数学协会指定美国中学数学史教材）,(美) 比尔・伯林霍夫  (美)费尔南多・辜维亚  著,¥34.00
和孩子聊艺术,"西班牙拉鲁斯出版社 编著；  (西)胡迪特・弗里戈拉,  (西)萨乌尔・M.伊里加赖 绘 ;     贾佳 译",¥47.80
《装在口袋里的爸爸》系列 第1辑（1-7）,杨鹏　著，郑凯军　图,¥50.50
特别的女生萨哈拉（精装版）,爱斯米・科德尔（Esmé Raji Codell ）著；小博集出品；,¥14.90
郑渊洁四大名传：皮皮鲁传,郑渊洁　著,¥12.50
彩虹色的花,麦克?格雷涅茨,¥22.80
故宫院长说故宫 图文并茂 全彩精装,李文儒，高高国际 出品,¥26.50
红帽子艾米莉（共24册） 法国经典畅销绘本，助孩子轻松解决成长问题,(法) 多米蒂耶・德普雷桑塞  著绘，邢培健  译,¥66.00
我爸爸――清华附小推荐经典儿童绘本！（启发童书馆出品）,〔英〕安东尼・布朗　著,¥30.90
雪落香杉树 (福克纳奖得主，全球畅销500万册),戴维・伽特森,¥23.40
解码青春期（了解青春期究竟发生了什么，帮助父母正面管教十几岁的孩子）,(美)乔希 西普（Josh Shipp） 著，李峥嵘  胡晓宇 译 青豆书坊 出品,¥22.30
局外人（如果你在人群中感到格格不入，一定要读《局外人》 ！全新精装插图珍藏版！诺奖作品，此生必读，耐人回味。）【读客经典文库】,[法]加缪,¥22.30
可爱的鼠小弟（1-22）,[日] 中江嘉男 文  [日]上野纪子 图， 爱心树童书  出品,¥193.00
九型人格 : 职场高品质沟通的艺术,（美）海伦・帕尔默　著,¥19.90
绘本花园：会飞的挖土机（平）,[英]伊恩?威柏,¥11.00
影响力（经典版）（新版）（团购，请致电400-106-6666转6）,（美）罗伯特・B.西奥迪尼（Robert B.Cialdini）著 湛庐文化 出品,¥35.70
法布尔昆虫记（全10册）（儿童彩图版）,（韩）高苏珊娜  编著，（韩）金成荣  绘，李明淑  译,¥99.00
穆斯林的葬礼（2015版）,霍达　著，新经典 出品,¥47.30
小鸡球球成长绘本系列：全6册,[日]入山智 著；崔维燕 译；心喜阅童书 出品,¥71.40
桃李春风一杯酒：唐朝诗人的快意人生 （中国诗词大会通关必读，独家书签版）,叶楚桥,¥22.50
新参者（2016版）,（日）东野圭吾 著，新经典 出品,¥19.70
十二生肖的故事――（启发童书馆出品）,文/图：赖马,¥19.70
Python编程 从入门到实践,[美]埃里克・马瑟斯（Eric Matthes）,¥59.70
看见,柴静 著，理想国 出品,¥21.90
如何培养孩子的社会能力,[美] 默娜・B.舒尔博士，[美] 特里萨・弗伊・迪吉若尼莫 著；张雪兰 译,¥15.00
山海经（白话全译彩图版珍藏版）,徐客  著    紫图  出品,¥32.30
舒克贝塔传（全10册）,郑渊洁,¥98.60
我的第一本亲子思维导图：八种思维导图Thinking maps零基础亲子学习教程,粟米/著， 糯米/绘，双螺旋童书馆 出品,¥27.50
白鹿原（新版）央视《读书》栏目推荐版本 买一赠三经典全含：白鹿原+信任+蚕儿+霞光灿烂的早晨,陈忠实,¥19.90
捕捉儿童敏感期（珍藏版）：了解孩子内心的早教经典，解除育儿焦虑的灵丹妙药。著名蒙氏教育专家孙瑞雪告诉你：真正的教育，真正的爱,孙瑞雪,¥19.00
郑渊洁四大名传：鲁西西传,郑渊洁　著,¥12.50
时间简史（插图本）（央视《朗读者》推荐）,史蒂芬・霍金,¥32.40
唐诗三百首 小学生 成长必读 绘本 注音版,思睿 编著,¥27.60
半小时漫画唐诗2（漫画科普开创者二混子新作！全网粉丝700万！看起来都是笑点，实际上全是考点！《半小时漫画唐诗》完结篇！）,陈磊・半小时漫画团队 著,¥24.90
钱穆谈中国历史文化：中国历史精神,钱穆,¥13.00
中国传统节日故事 小学语文课外读物 （收录专家解读节日和习俗，包含春节、元宵节、清明节、等所有重大节日）,爱华文 （著）,¥15.60
儿童时间管理全书,甘开全,¥41.60
羊皮卷大全集（畅销珍藏本）,（美曼狄诺　等著，张权　编译,¥15.40
李诞 宇宙超度指南（新版！《奇葩说》导师，《吐槽大会》总策划李诞自扯自蛋短篇故事集）,李诞 ， 果麦文化 出品,¥19.30
半小时漫画唐诗（漫画科普开创者二混子新作！全网粉丝700万！熟读唐诗三百首背后的故事，准确理解唐诗的原意、深意和诗意！）,陈磊・半小时漫画团队 （笔名：二混子） 著；读客文化 出品,¥24.90
小狗钱钱套装（全2册）青春有你吴泽林推荐！一个童话般的理财故事，一幅没有画框的风景。,（德）博多・舍费尔,¥40.10
打仗，这个主意真可笑,(法)艾瑞克・巴图/著，第五婷婷/译,¥9.70
独一无二的你+勇敢做自己,（美）克兰兹　著，薛亚男　译,¥29.00
少年读西游记（套装全3册）,张嘉骅,¥44.70
第一次自己睡觉,文：（日）季巳明代 著  图：（日）长谷川香子 绘,¥16.40
成语大词典（彩色本）最新修订版 150000多名读者热评！团购电话4001066666转6,<成语大词典>编委会,¥79.80
化学视觉之旅三部曲 神奇的化学元素1 神奇的化学元素2 化学世界的分子奥秘,[美] 西奥多・格雷（Theodore Gray） 著,¥93.00
深见春夫超级想象力图画书（全15册）,深见春夫,¥148.50
明朝那些事儿全集 增补版（新版全套9册）,当年明月 著，磨铁图书 出品,¥275.60
假如给我三天光明（中小学语文新课标必读名著 ）420000多名读者热评！,(美) 海伦 凯勒著,¥9.00
小鸡球球成长绘本系列：新3册,[日]入山智 著/绘；崔维燕 译；心喜阅童书 出品,¥35.70
三毛流浪记（彩图注音读物）,张乐平   著,¥22.80
过年啦-节日体验立体绘本,孙肇志 张羽高 文；�O杨 徐芳 李婷 图；乐乐趣出版,¥38.90
山海经：绝美水墨画卷（首部水墨写实风《山海经》震撼来袭！）,沈鑫 著绘，紫图出品,¥60.80
四季读不停（全4册）,宗介华　著,¥30.00
写给儿童的世界历史（全16册）,陈卫平著、步印童书 出品,¥206.40
少有人走的路：心智成熟的旅程 （白金升级版）,斯科特・派克,¥21.00
全球通史:从史前史到21世纪（第7版修订版上下册，当当独家赠送全球通史主题笔记本）,（美）斯塔夫里阿诺斯  著，吴象婴  等译,¥59.60
中国通史,吕思勉,¥21.40
一只特立独行的鸡 （儿童自主意识养成，从小培养孩子勇敢与自信，不盲目顺从他人，相信自己，做自己到学会我会爱自己的优秀图画书，帮助孩子自立、自爱、自信的成长）,绘（美）大卫・海德・卡斯特罗  著（美）梅根・多德・兰伯特  译 李一慢,¥39.80
我是猫（陈乔恩推荐！百万畅销译本。日本“国民大师”夏目漱石笔下会“吐槽”的猫。译文轻松幽默，好读，爱猫的你一定喜欢）,[日]夏目漱石 著，曹曼 译，果麦文化 出品,¥19.90
小学生必背古诗词75+80首 25万多读者好评，不同印次随机发货!,说词解字辞书研究中心,¥22.40
北上（第十届茅盾文学奖获奖作品，2018年度中国好书作品）,徐则臣  著 ， 新经典  出品,¥29.90
红楼梦原著版（上、下册）（全两册）（1-9年级必读书单）（团购电话:400-1066666转6）全本120回,曹雪芹,¥38.90
信谊世界精选图画书-母鸡萝丝去散步,佩特・哈群斯 著,¥18.40
认知天性：让学习轻而易举的心理学规律,[英] 彼得・布朗，亨利・勒迪格三世，马克・麦克丹尼尔,¥35.50
宝宝学说话系列 第1辑  语言启蒙（全5册）,真果果  著,¥19.80
摆渡人3无境之爱（千万畅销心灵治愈小说“摆渡人”系列完结篇，令无数读者灵魂震颤的人性救赎之作！）,克莱儿・麦克福尔，白马时光 出品,¥22.80
少年的你，如此美丽（易烊千玺，周冬雨主演改编电影《少年的你》，10月25日邀你共赴少年之约！）,玖月��，白马时光 出品,¥19.90
设计诗（易烊千玺推荐）,朱赢椿,¥28.60
信谊宝宝起步走・抱抱（新版）,[英] 杰兹・阿波罗 著，[英] 杰兹 阿波罗，文图，上谊编辑部 编，上谊编辑部 绘,¥19.90
湘行散记：沈从文散文精粹（七年级自主阅读新课标，央视推荐）,沈从文,¥15.00
有趣得让人睡不着科普系列（中小学生经典读物全8册，数学、物理、地理、科学、天文、生物、进化论、植物）,[日] 左卷健男，[日] 竹内�`，[日] 樱井进 等,¥151.10
斯凯瑞金色童书・故事经典（百年诞辰纪念版，全8册）,【美】理查德・斯凯瑞  等著 张��  等译,¥99.00
100层的房子（全4册，《100层的房子》+《地下100层的房子》+《海底100层的房子》+《天空100层的房子》）,[日]岩井俊雄,¥78.00
14只老鼠全集（全12册）,（日）岩村和朗,¥152.50
小猪唏哩呼噜(注音版上、下),孙幼军　著,¥15.00
放飞心灵的大师绘本（全2册）：《走，我们去海边》/《八点钟的小火车》,〔法〕艾瑞克・巴图／著，第五婷婷／译,¥18.50
罗尔德・达尔作品典藏 了不起的狐狸爸爸,罗尔德・达尔,¥7.50
培生幼儿英语：预备级（升级版）,海豚传媒，培生集团 出品,¥59.00
陈果：好的孤独（好的孤独，是一种自我对话；学会如何与自己相处）,陈果 著；读客文化 出品,¥18.00
我的神奇马桶-亲子阅读绘本,（日） 铃木典丈  文图，彭懿 译,¥14.90
三体2：黑暗森林（刘慈欣代表作，亚洲首部雨果奖获奖作品！）,刘慈欣,¥18.80
王阳明传：知行合一的心学圣人,燕山刀客 著,¥23.50
小金鱼逃走了,五味太郎 著， 爱心树童书  出品,¥26.30
三体3：死神永生（刘慈欣代表作，亚洲首部“雨果奖”获奖作品！）,刘慈欣,¥22.40
学会管自己幼儿版-歪歪兔自控力教育系列绘本（全10册，幼儿园必备情绪管理与时间管理绘本）,歪歪兔关键期早教项目组著绘,¥44.00
0-3岁行为习惯教养绘本（全6册）,[比]让娜・阿什比 著/绘；谢逢蓓 译；心喜阅童书 出品,¥44.10
小孩（大冰2019全新作品！5分钟销量6.3万册+，30分钟突破12.4万册，再创历史新高！）,"大冰 著,博集天卷 出品",¥18.80
平凡的世界：普及本,路遥 著， 爱心树童书  出品,¥29.90
张爱玲全集01：倾城之恋（精装典藏版）,张爱玲 著  ，新经典  出品,¥24.70
阿米巴经营稻盛和夫经典套装（理论+实践）（当当独家定制套装）（团购，请致电400-106-6666转6）,（日）稻盛和夫，京瓷通信系统株式会社（KCCS） 著,¥42.00
大侦探福尔摩斯（第1辑）（全6册）,柯南・道尔 著；厉河 编；余远�B 绘；心喜阅童书 出品,¥57.00
巴巴爸爸经典故事系列（全十册）,[法] 安娜特・缇森 [法] 德鲁斯・泰勒,¥108.10
一年级的小豌豆+一年级的小蜜瓜（全彩注音版套装共2册）,商晓娜,¥38.00
懂你（复旦名师陈果作品！）,陈果,¥10.80
东野圭吾：毕业（《恶意》系列开篇之作）,（日）东野圭吾  著 ，新经典  出品,¥24.70
事实（樊登读书创始人樊登博士倾力推荐！比尔・盖茨送给全美大学生的毕业礼物！比尔・盖茨逢人就推荐的热门大书！）,（瑞典）汉斯・罗斯林，欧拉・罗斯林，安娜・罗斯林・罗朗德,¥49.50
枪炮、病菌与钢铁――人类社会的命运(修订版）,（美）贾雷德.戴蒙德 著，谢延光 译,¥27.50
自卑与超越（白岩松推荐，完整全译本未删节）,阿德勒 ，杨蔚 译者，果麦文化 出品,¥12.50
小红火车大冒险故事绘本系列(全7册),（英）本尼迪克特・布拉瑟韦特  文， 杨玲玲、彭懿　译,¥44.50
正面管教 A-Z：日常养育难题的1001个解决方案（以实例讲解不惩罚、不娇纵管教孩子的“黄金准则”）,"(美) 简・尼尔森, 琳・洛特, 斯蒂芬・格伦著",¥22.50
三毛流浪记全集（彩图注释版）,张乐平 原作，上海三毛形象发展有限公司　编,¥75.00
皮特猫・3~6岁好性格养成书：共四辑（套装1~4辑）（乐观、自信、执著……荣获19项大奖的好性格榜样，在美国家喻户晓）,詹姆斯・迪安，艾瑞克・利温，金柏莉・迪安 著；彭懿，杨玲玲，常立，余治莹 译；读客文化 出品,¥279.80
怪杰佐罗力冒险系列（精装4册）日本热卖30年，狂销3500万本的经典童书,[日]原裕 文/图，厉河 译，蒲蒲兰 校译,¥56.00
暖房子爱的故事口袋绘本（套装共30册）,【英】保罗布莱特等 著，【英】艾莉森埃奇森　等绘,¥64.00
大国战略,金一南 等著 中国军事文化讲坛 主编 时代华语 出品,¥22.80
走遍中国 图说天下 寻梦之旅,霍晨昕,¥21.00
作家榜经典：父与子全集(郑渊洁推荐版《父与子》，亲子同读必备！连续3年销量靠前，开创10万+读者五星好评推荐),卜劳恩 绘，大星文化 出品，作家榜经典文库,¥19.00
思考，快与慢,(美)丹尼尔卡尼曼,¥42.50
可爱的鼠小弟（1-12）,[日] 中江嘉男 文  [日]上野纪子 图， 爱心树童书  出品,¥99.00
歪歪兔行为习惯系列互动图画书（全10册）,歪歪兔关键期早教项目组　编绘,¥45.00
后来时间都与你有关（肖战李现同款书，韩寒 何炅 谢娜 吴昕 戚薇 阚清子等明星推荐）,张皓宸，果麦文化 出品,¥19.90
LP日历Lonely Planet孤独星球：Travelholic 2020好想天天去旅行日历,澳大利亚Lonely Planet公司,¥67.20
当你又忙又美，何惧患得患失（不纠结，不依附；按章服用，你将减少80%的拧巴！王潇、张萌、陈熠诚意推荐！）,梁爽,¥20.00
每天演好一个情绪稳定的成年人（附赠情绪急救指南小册子）,"老杨的猫头鹰 著,博集天卷 出品",¥22.50
十几岁孩子的正面管教――教给十几岁的孩子人生技能（畅销书《正面管教》作者力作，养育青春期孩子的“黄金准则”）,简.尔森,¥17.50
白岩松：白说,白岩松,¥19.90
荷花镇的早市（2018版 丰子恺儿童图画书奖“优秀儿童图画书奖”）,著 周翔,¥29.60
0～3岁孩子的正面管教,(美) 简・尼尔森，谢丽尔・欧文，罗丝琳・安・达菲 著，花莹莹 译,¥21.00
奇妙的办法：国际创意大师幽默绘本（全8册）,帕梅拉.艾伦，海豚传媒出品,¥63.00
雪国,(日)川端康成  著，新经典  出品,¥30.40
掌控习惯（樊登读书创始人樊登博士倾力推荐）,【美】詹姆斯・克利尔（James Clear）著  迩东晨 译,¥28.00
遥远的救世主,豆豆,¥24.00
慢煮生活（汪曾祺经典散文集，执笔75周年白金纪念版！畅销领衔之作，升级回馈）,汪曾祺 著  时代华语 出品,¥16.10
四季读不停:带刺的朋友,宗介华,¥7.40
柳林风声,作者:[英]肯尼斯格雷厄姆著；[英]大卫罗伯茨绘；杨静远译,¥49.00
神奇校车・人文版（全3册）,作者:乔安娜柯尔 著，布鲁斯迪根 绘，汪晓英 译,¥27.00
宫西达也精选绘本（数学绘本+超人绘本+暖心绘本！第2辑，全5册）,（日）宫西达也 著，米雅　译,¥44.00
没药花园：十五个绝对真实的案件,何袜皮,¥24.90
爸爸的声音  最好的胎教（汉竹）,汉竹　著,¥19.70
3～6岁孩子的正面管教,[美] 简・尼尔森  谢丽尔・欧文  罗丝琳・安・达菲  著    娟子 译,¥21.00
东野圭吾：时生（东野圭吾暖心力作）,东野圭吾 著，徐建雄  译，新经典 出品,¥37.50
PET  P.E.T.父母效能训练:让亲子沟通如此高效而简单,（美）托马斯・戈登　著，琼林　译,¥17.50
不用说，孩子就会听――歪歪兔逆反期教育系列图画书（全8册，让宝宝不再黏人、任性、急躁……轻松搞定各种小脾气）,歪歪兔关键期早教项目组　编绘,¥37.50
中国动画 上海美影经典故事 哪吒闹海,上海美术电影制片厂 著，童趣出版有限公司 编,¥22.30
老鼠娶新娘（2018版）,文 张玲玲，图 刘宗慧,¥27.10
习近平的七年知青岁月,中央党校采访实录编辑室,¥49.40
曾国藩传,梅寒 著，麦书房出品，有容书邦发行,¥24.50
DK儿童太空百科全书（2018年全新修订版）,英国DK公司　编著，王佳　等译,¥79.60
8册百篇张秋生小巴掌童话注音版一二年级课外书必读三年级课外阅读书籍少儿美绘本经典故事书儿童文学畅销童书小学生读物6-12周岁,张秋生,¥43.05
行星全书：美国宇航局NASA经典摄影集,尼尔马拉・纳塔瑞杰  NASA,¥122.60
提灯映桃花（上、下册）,"淮上 著,  悦读纪 出品",¥34.00
无人生还：阿加莎 克里斯蒂作品集10（销售记录超过一亿册的侦探小说 被改编为二十部影视剧 同名话剧七十年常演不衰）,(英)阿加莎.克里斯蒂,¥13.90
森林鱼童书：狮子和老鼠（凯迪克金奖，让孩子懂得友谊、宽容、感恩，经典版本）,［美］杰里.平克尼,¥19.07
皮皮鲁和鲁西西流星系列（包含驯兔记等共9册）,郑渊洁,¥76.30
中国神话故事（注音美绘本）全国著名语文特级教师 窦桂梅推荐 小学生语文新课标必读书系 爱上阅读系列,金波,¥16.50
托马斯和朋友宝宝睡前故事（30册）,（英）HIT公司 著，童趣出版有限公司 编,¥49.00
父与子全集（全彩版）,[德] 埃・奥・卜劳恩  绘,¥17.60
心流：最优体验心理学,(美)米哈里・契克森米哈赖 著；张定绮 译,¥37.10
小猪佩奇（全10册）,英国快乐瓢虫出版公司  改编，苗辉 译,¥60.00
丰子恺愿你一生清澈明朗,丰子恺,¥19.90
不许抠鼻子！,文/图：〔英〕托尼?罗斯,¥18.20
余生，请多指教（肖战、杨紫主演电视剧原著小说）,柏林石匠，酷威文化 出品,¥23.80
小学生必背文言文 学生版 教育部（语文课程标准）指定篇目,张瑞征,¥14.00
去旅行系列（中国版）2018年度最值得期待的原创作品,《去旅行》（中国版）编委会著 虫孚虫�� 爆裂鹌鹑蛋 绘,¥54.00
男孩的冒险书（少儿绘图版，全三册）,【英】康恩・伊古尔登，【英】哈尔・伊古尔登,¥99.00
暖萌科学绘本 和爸妈去旅行,黄宇,¥17.40
繁花（朱一龙推荐 第九届茅盾文学奖获奖作品）,金宇澄,¥28.70
如何阅读一本书,[美]莫提默・J.艾德勒  查尔斯・范多伦 著，郝明义 朱衣 译,¥29.90
憋不住，憋不住，快要憋不住了,[日]土屋富士夫 文／图,¥19.90
耕林童书馆：1999年6月29日 （想象力比知识更重要）,[美]大卫?威斯纳/著,¥18.80
人间失格（太宰治绝望的告白，独家收录太宰治绝笔之作《Goodbye》）,（日）太宰治  著，烨伊　译   凤凰含章出品,¥15.00
成为becoming：米歇尔・奥巴马自传（精装版）2019读者年度“十大影响力图书”、年度“人物传记”作品！美国前第一夫人米歇尔亲笔自传！全球销售超1000万册！,米歇尔・奥巴马  MICHELLE ROBINSON OBAMA,¥46.60
秘密 （东野圭吾创作生涯里程碑）,东野圭吾 著，新经典 出品,¥22.50
这世界很烦，但你要很可爱（抵抗丧穷衰丑，生活给你的这些暗示你一定要懂）,万特特,¥17.90
傅雷家书（部编本语文教材八年级下册推荐阅读）,傅雷 著，麦书房出品，有容书邦 发行,¥24.00
苦难辉煌（全新修订增补版）,金一南,¥34.00
红星照耀中国（青少版）人民文学出版社,埃德加・斯诺 著；董乐山 译,¥24.80
郑渊洁十年未出版的经典童话,郑渊洁 著,¥30.00
邦臣小红花・我的第一本数学启蒙贴纸游戏书(2～3岁 套装全6册）,北京小红花图书工作室,¥32.29
中国动画 上海美影经典故事 曹冲称象,上海美术电影制片厂 著，童趣出版有限公司 编,¥22.30
理想国,柏拉图,¥22.70
显微镜下的大明（马伯庸著，全新明朝历史书）,"马伯庸 著,博集天卷 出品",¥26.00
让孩子爱上科学的趣味实验大百科,[日]学研教育出版　编，林岚，林榕　译,¥49.00
曾国藩（全三册）,唐浩明 著,¥45.00
在教室说错了没关系,著 （日）莳田晋至，译 吴佳芬，绘 （日）长谷川知子,¥17.80
贾里贾梅大系  男生贾里全传,秦文君 著,¥13.10
瓦尔登湖(珍藏本) 朗读者朗读书目,（美）梭罗,¥12.30
半小时漫画中国史（修订版）（看半小时漫画，通五千年历史！《半小时漫画中国史》系列开篇之作）团购电话4001066666转6,陈磊（二混子） 著；读客文化 出品,¥19.90
优秀的人，都是聪明的勤奋者,"Juno,Cindy 著",¥21.40
活了100万次的猫（珍藏版）,（日）佐野洋子 著,¥25.90
偷影子的人（2018新版）,"马克・李维（Marc Levy） ,博集天卷 出品",¥18.90
能力陷阱（樊登读书创始人樊登博士特别推荐图书）,（美）埃米尼亚・伊贝拉 著 王臻 译 时代华语 出品,¥28.00
好饿的小蛇（2018版 绘本大师宫西达也低幼绘本代表作）,文/图 宫西达也，译 彭懿,¥20.80
社会心理学（第11版）,（美） 戴维・迈尔斯（David Myers）著，侯玉波，乐国安，张智勇 等译,¥82.00
厚黑学(李宗吾著),李宗吾 著，新华先锋 出品,¥13.40
我的梦幻被子,[日] 铃木典丈/著   彭懿/译,¥14.90
月亮的味道（精装）,麦克格雷涅茨 著,¥17.30
海子的诗,海子 著,¥17.10
打动孩子心灵的中国经典-鼹鼠的月亮河,王一梅 著；吕秋梅 绘,¥13.90
睡觉去，小怪物！,[比] 马里奥?拉莫  著，刘明　译,¥13.80
人类简史三部曲： 人类简史+今日简史+未来简史,尤瓦尔・赫拉利,¥130.50
陈果：好的爱情（陈果关于爱的哲学，揭示爱情、友情、自爱的内涵！长久的爱情，是一次又一次爱上同一个人）,陈果　著；读客文化 出品,¥19.50
信谊世界精选图画书・鳄鱼怕怕 牙医怕怕,五味太郎,¥17.90
园丁与木匠,(美) 艾莉森・高普尼克 著  湛庐文化 出品,¥46.60
见识 吴军 首部认知升级类著作,吴军,¥31.70
DK幼儿百科全书――那些重要的动物,英国DK公司,¥69.00
草房子（当当网定制版）,曹文轩,¥12.50
查令十字街84号（精装珍藏版，李现推荐）,海莲・汉芙 著，陈建铭  译,¥17.50
西藏生死书（布面精装版）,索甲仁波切 著，新经典 出品,¥29.00
皮皮鲁和鲁西西魔方系列（共8册）,郑渊洁,¥76.00
很杂很杂的杂学知识：拿得起放不下的学问书（让百度疯狂，谷歌抽搐的杂学百科！一书在手，让你成为异性眼中的“博学红人”，社交圈子中“风趣明星”。）,张立辉　编著,¥18.00
穷查理宝典：查理・芒格智慧箴言录（增订本）,[美] 彼得・考夫曼 | 编 李继宏 译,¥104.00
蹦（2018版 绘本大师松冈达英低幼作品）,文/图 松冈达英，译 蒲蒲兰,¥18.30
遇见美好系列（第1辑，全8册）,（德）克尼斯特 等 著；（法）伊芙・塔勒 等 绘；杨玲玲、彭懿 译,¥79.20
黄金时代（手稿珍藏版）,王小波 著，新经典 出品,¥17.50
男孩的尿尿书,（捷克）贾科布・普拉契,¥17.50
速成围棋 入门篇 中,（韩）黄焰，金成来  著,¥12.30
大卫不可以+大卫上学去+大卫惹麻烦（大卫系列全3册）――清华附小推荐《大卫上学去》；凯迪大奖绘本《大卫不可以》！,文/图：〔美〕大卫?香农David Shannon,¥94.30
蚂蚁和西瓜（2018版 细节大搜索 蒲蒲兰低幼畅销书 ）,文/图 田村茂，译 蒲蒲兰,¥22.70
会说话的汉字（全3册，当当独家配备《亲子阅读指导手册》）,梅子涵,¥74.00
囚鸟（与《1984》、《第二十二条军规》齐名的伟大小说）,库尔特・冯内古特著 董乐山译，酷威文化 出品,¥35.30
我是猫（精装版）（日本文学经典之作，大作家夏目漱石成名作）,(日) 夏目漱石 著，田雨 译，新华先锋 出品,¥39.60
红与黑（高晓松推荐、央视官方收藏版本）（法文直译无删节，法国国家图书馆藏本，中国社科院翻译家罗新璋先生翻译并全新修订内文）,(法)司汤达，罗新璋，果麦文化 出品,¥20.80
what if那些古怪又让人忧心的问题（珍藏版）,兰道尔・门罗，未读 出品,¥36.10
汴京之围：北宋末年的外交、战争和人,郭建龙,¥39.00
米小圈上学记一年级、二年级（套装共8册）,北猫,¥100.00
十万个为什么（小学生彩绘版）,蜗牛爸爸,¥49.80
邓小平时代,(美) 傅高义著,¥52.70
中华上下五千年（中小学新课标必读名著 ）170000多名读者热评！,邵珠磊编写，童趣出版有限公司编,¥9.60
古利和古拉系列（1-7）,（日）中川李枝子　文，山胁百合子　图， 爱心树童书  出品,¥49.50
山海经 精装珍藏本 中国远古百科奇书，是地理方志亦是神话故事集 精装插图 名社新版,富强译 注，高高国际 出品,¥15.50
西游记原著版（上、下册）（七年级上册必读、1-9年级必读书单）（团购电话:400-1066666转6）,吴承恩,¥30.70
小山词（至美古风全彩版）,晏几道 著 时代华语 出品,¥9.90
自控力（畅销300万册纪念版！斯坦福大学广受欢迎的心理学课程！从自知到自控，拿回人生主导权！）,（美）凯利?麦格尼格尔 著，磨铁图书 出品,¥41.80
东野圭吾：悲剧人偶,（日）东野圭吾 著，新经典 出品,¥24.70
一九八四（又译作“1984”）,"[英]乔治・奥威尔 著,傅霞 译",¥15.00
寻找时间的人（与《追风筝的人》《偷书贼》共同荣获美国年度最佳读物）（迪丽热巴推荐）,作者 凯特・汤普森、译者 闫雪莲；酷威文化 出品,¥18.00
佐贺的超级阿嬷,〔日〕岛田洋七 著，陈宝莲 译， 爱心树童书  出品,¥22.40
孩子看的编程启蒙书（第1辑，共4册）,【日】松田孝,¥49.00
中国历代政治得失（新修订版）,钱穆,¥16.00
见识城邦・娱乐至死,（美）波兹曼　著，章艳　译,¥23.60
平语近人：习近平总书记用典（团购电话4001066666转6）,中共中央宣传部、中央广播电视总台,¥41.70
克里克塔（2018版 国际安徒生奖得主汤米・温格尔半世纪经典佳作）,汤米・温格尔 图/文，蒲蒲兰 译,¥26.30
我妈妈――清华附小推荐经典儿童绘本！（启发童书馆出品）,文：〔英〕安东尼布朗,¥31.40
穿越时空看文明―全景手绘中国史（精装全4册）,米莱童书 著绘,¥122.40
浮生六记（详细注解+准确优美直译，你一定能读懂原文，李现推荐）,（清）沈复 著   梦窗 译注,¥14.00
人生如逆旅 汪曾祺著作 任伯年 郑板桥 吴昌硕 张大千彩图插画,汪曾祺,¥34.40
兄弟（新版）,余华,¥24.50
与青春期和解 理解青少年思想行为的心理学指南,[美]劳伦斯・斯坦伯格（Laurence Steinberg）,¥37.50
白日梦我（继《撒野》《少年的你，如此美丽》后，读者期待值爆棚的校园文！新增甜宠番外三则。随书附赠校园万花筒+精美书签）,栖见，白马时光 出品,¥34.90
陪孩子读诗经・关关雎鸠 ・呦呦鹿鸣(精装，2册),罗�F著  叶媛媛绘,¥68.00
思考世界的孩子（全2册）：问个不停卷+想个不停卷（巴亚桥哲学启蒙精选）,(法)阿内-索菲・希拉尔 ；格温尼拉・布莱/著；(法)帕斯卡尔・勒梅特尔/绘,¥73.30
儿童教育心理学,【奥地利】阿德勒 著,¥16.70
神奇校车大家族（全73册）,"(美)乔安娜柯尔 著 ,(美)布鲁斯・迪根 图",¥414.00
东野圭吾：假面山庄（东野圭吾烧脑长篇）,〔日〕东野圭吾 著，新经典 出品,¥22.50
安徒生童话（注音版）――世界儿童共享的经典丛书（新版）,安徒生 著;陈筱,¥16.20
青蛙弗洛格的成长故事全三辑（全26册）,马克斯・维尔修思,¥156.00
故宫里的大怪兽（当当独家限量12册礼盒装，并独家附赠故宫怪兽手册）,常怡,¥168.00
新版林格伦作品选集・美绘版 长袜子皮皮,阿斯特丽德・林格伦  著 英格丽德・万・尼曼 画,¥11.50
